Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 20.78      1.18     1.18 11317506     0.00     0.00  Matrix_MultiplyVector(LL3D_Matrix4x4&, LL3D_Vector3D&)
 14.61      2.01     0.83  6079670     0.00     0.00  Vector_Sub(LL3D_Vector3D&, LL3D_Vector3D&)
  9.16      2.53     0.52  5333013     0.00     0.00  Vector_Normalise(LL3D_Vector3D&)
  6.34      2.89     0.36   140993     0.00     0.00  MK2D_RenderAATexture2DColored(MK2D_Texture2D&, int, int, int, int, int, int, int)
  5.81      3.22     0.33       27     0.01     0.14  LL3D_ProjectObjects()
  5.63      3.54     0.32  2387957     0.00     0.00  Triangle_ClipAgainstPlane(LL3D_Vector3D, LL3D_Vector3D, LL3D_Triangle&, LL3D_Triangle&, LL3D_Triangle&)
  5.11      3.83     0.29    92218     0.00     0.00  LL3D_TexturedTriangle(int, int, float, float, float, int, int, float, float, float, int, int, float, float, float, MK2D_Texture2D*)
  3.87      4.05     0.22  2007948     0.00     0.00  Vector_CrossProduct(LL3D_Vector3D&, LL3D_Vector3D&)
  3.52      4.25     0.20  2649894     0.00     0.00  Vector_Div(LL3D_Vector3D&, float)
  3.17      4.43     0.18  2705738     0.00     0.00  Vector_Add(LL3D_Vector3D&, LL3D_Vector3D&)
  2.11      4.55     0.12 11069438     0.00     0.00  Vector_DotProduct(LL3D_Vector3D&, LL3D_Vector3D&)
  1.76      4.65     0.10       27     0.00     0.05  LL3D_RenderObjects()
  1.23      4.72     0.07  1032034     0.00     0.00  void __gnu_cxx::new_allocator<LL3D_Triangle>::construct<LL3D_Triangle, LL3D_Triangle const&>(LL3D_Triangle*, LL3D_Triangle const&)
  1.06      4.78     0.06  5333013     0.00     0.00  Vector_Length(LL3D_Vector3D&)
  1.06      4.84     0.06  4603719     0.00     0.00  std::__cxx11::_List_base<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_get_size() const
  0.97      4.90     0.06  5333013     0.00     0.00  std::sqrt(float)
  0.88      4.95     0.05  3387844     0.00     0.00  std::__cxx11::list<LL3D_Triangle, std::allocator<LL3D_Triangle> >::begin()
  0.70      4.99     0.04  2965602     0.00     0.00  std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::operator[](unsigned long)
  0.62      5.02     0.04  5081766     0.00     0.00  std::_List_node<LL3D_Triangle>::_M_valptr()
  0.53      5.05     0.03  8840015     0.00     0.00  LL3D_Triangle const& std::forward<LL3D_Triangle const&>(std::remove_reference<LL3D_Triangle const&>::type&)
  0.53      5.08     0.03  5081766     0.00     0.00  __gnu_cxx::__aligned_membuf<LL3D_Triangle>::_M_ptr()
  0.53      5.11     0.03  1693922     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<LL3D_Triangle> >::destroy<LL3D_Triangle>(LL3D_Triangle*)
  0.53      5.14     0.03  1693922     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<LL3D_Triangle> > >::destroy<LL3D_Triangle>(std::allocator<std::_List_node<LL3D_Triangle> >&, LL3D_Triangle*)
  0.53      5.17     0.03                             LL3D_RandomInt()
  0.44      5.20     0.03  2197827     0.00     0.00  MK2D_Texture2D::SampleMaskFast(int, int)
  0.44      5.22     0.03  3387844     0.00     0.00  std::__cxx11::_List_base<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_get_Node_allocator()
  0.35      5.24     0.02  5081766     0.00     0.00  std::_List_iterator<LL3D_Triangle>::_List_iterator(std::__detail::_List_node_base*)
  0.35      5.26     0.02  2966708     0.00     0.00  std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::size() const
  0.35      5.28     0.02  1693922     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<LL3D_Triangle> >::construct<LL3D_Triangle, LL3D_Triangle const&>(LL3D_Triangle*, LL3D_Triangle const&)
  0.35      5.30     0.02  1693922     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<LL3D_Triangle> > >::~__allocated_ptr()
  0.35      5.32     0.02  1693922     0.00     0.00  std::__cxx11::_List_base<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_put_node(std::_List_node<LL3D_Triangle>*)
  0.35      5.34     0.02  1693922     0.00     0.00  std::_List_node<LL3D_Triangle>* std::__cxx11::list<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_create_node<LL3D_Triangle const&>(LL3D_Triangle const&)
  0.35      5.36     0.02  1693922     0.00     0.00  std::__cxx11::list<LL3D_Triangle, std::allocator<LL3D_Triangle> >::front()
  0.35      5.38     0.02  1693922     0.00     0.00  std::__cxx11::list<LL3D_Triangle, std::allocator<LL3D_Triangle> >::push_back(LL3D_Triangle const&)
  0.35      5.40     0.02    10865     0.00     0.00  MC_Write(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, int, unsigned char)
  0.26      5.42     0.02       72     0.00     0.00  std::cos(float)
  0.18      5.43     0.01  4603719     0.00     0.00  std::__cxx11::list<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_node_count() const
  0.18      5.44     0.01  1693922     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<LL3D_Triangle> >::deallocate(std::_List_node<LL3D_Triangle>*, unsigned long)
  0.18      5.45     0.01  1693922     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<LL3D_Triangle> >::allocate(unsigned long, void const*)
  0.18      5.46     0.01  1693922     0.00     0.00  std::_List_iterator<LL3D_Triangle>::operator*() const
  0.18      5.47     0.01  1693922     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<LL3D_Triangle> > >::deallocate(std::allocator<std::_List_node<LL3D_Triangle> >&, std::_List_node<LL3D_Triangle>*, unsigned long)
  0.18      5.48     0.01  1693922     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<LL3D_Triangle> > >::allocate(std::allocator<std::_List_node<LL3D_Triangle> >&, unsigned long)
  0.18      5.49     0.01  1693922     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<LL3D_Triangle> > >::construct<LL3D_Triangle, LL3D_Triangle const&>(std::allocator<std::_List_node<LL3D_Triangle> >&, LL3D_Triangle*, LL3D_Triangle const&)
  0.18      5.50     0.01  1693922     0.00     0.00  std::__cxx11::list<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_erase(std::_List_iterator<LL3D_Triangle>)
  0.18      5.51     0.01  1693922     0.00     0.00  void std::__cxx11::list<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_insert<LL3D_Triangle const&>(std::_List_iterator<LL3D_Triangle>, LL3D_Triangle const&)
  0.18      5.52     0.01  1693922     0.00     0.00  std::allocator<std::_List_node<LL3D_Triangle> >* std::__addressof<std::allocator<std::_List_node<LL3D_Triangle> > >(std::allocator<std::_List_node<LL3D_Triangle> >&)
  0.18      5.53     0.01  1032034     0.00     0.00  std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::push_back(LL3D_Triangle const&)
  0.18      5.54     0.01   385088     0.00     0.00  std::vector<SubChunk, std::allocator<SubChunk> >::operator[](unsigned long)
  0.18      5.55     0.01    74368     0.00     0.00  LL3D_Triangle::translate(float, float, float)
  0.18      5.56     0.01    55871     0.00     0.00  Vector_Mul(LL3D_Vector3D&, float)
  0.18      5.57     0.01    55832     0.00     0.00  Vector_IntersectPlane(LL3D_Vector3D&, LL3D_Vector3D&, LL3D_Vector3D&, LL3D_Vector3D&, float&)
  0.18      5.58     0.01     8576     0.00     0.00  BlockState::setup(unsigned short, bool, short, char, unsigned char, unsigned char)
  0.18      5.59     0.01     2379     0.00     0.00  MK_SDL_GetKeys()
  0.18      5.60     0.01     2379     0.00     0.00  MC_Menu_DrawDirt()
  0.18      5.61     0.01     2379     0.00     0.00  MK2D_RenderBuffer()
  0.18      5.62     0.01     2379     0.00     0.00  MK2D_DrawMonkeyMouse()
  0.18      5.63     0.01       44     0.00     0.00  void std::_Destroy<LL3D_Triangle*>(LL3D_Triangle*, LL3D_Triangle*)
  0.18      5.64     0.01       27     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<LL3D_Triangle> >::new_allocator()
  0.18      5.65     0.01        5     0.00     0.00  MK2D_Texture2D::LoadBitmap(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool)
  0.18      5.66     0.01        1     0.01     0.01  _GLOBAL__sub_I_LL3D_PixelBuffer
  0.18      5.67     0.01        1     0.01     5.62  MC_MinecraftLoop()
  0.09      5.67     0.01  1693922     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<LL3D_Triangle> >::max_size() const
  0.09      5.68     0.01   331987     0.00     0.00  MK2D_Texture2D::SampleTexFast(int, int)
  0.09      5.68     0.01                             LL3D_Vector3D* std::copy<std::move_iterator<LL3D_Vector3D*>, LL3D_Vector3D*>(std::move_iterator<LL3D_Vector3D*>, std::move_iterator<LL3D_Vector3D*>, LL3D_Vector3D*)
  0.00      5.68     0.00  5081766     0.00     0.00  __gnu_cxx::__aligned_membuf<LL3D_Triangle>::_M_addr()
  0.00      5.68     0.00  4603719     0.00     0.00  std::__cxx11::list<LL3D_Triangle, std::allocator<LL3D_Triangle> >::size() const
  0.00      5.68     0.00  2726077     0.00     0.00  operator new(unsigned long, void*)
  0.00      5.68     0.00  1693922     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<LL3D_Triangle> > >::__allocated_ptr(std::allocator<std::_List_node<LL3D_Triangle> >&, std::_List_node<LL3D_Triangle>*)
  0.00      5.68     0.00  1693922     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<LL3D_Triangle> > >::operator=(decltype(nullptr))
  0.00      5.68     0.00  1693922     0.00     0.00  std::__cxx11::_List_base<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_dec_size(unsigned long)
  0.00      5.68     0.00  1693922     0.00     0.00  std::__cxx11::_List_base<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_get_node()
  0.00      5.68     0.00  1693922     0.00     0.00  std::__cxx11::_List_base<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_inc_size(unsigned long)
  0.00      5.68     0.00  1693922     0.00     0.00  std::__cxx11::list<LL3D_Triangle, std::allocator<LL3D_Triangle> >::end()
  0.00      5.68     0.00  1693922     0.00     0.00  std::__cxx11::list<LL3D_Triangle, std::allocator<LL3D_Triangle> >::pop_front()
  0.00      5.68     0.00  1032034     0.00     0.00  void std::allocator_traits<std::allocator<LL3D_Triangle> >::construct<LL3D_Triangle, LL3D_Triangle const&>(std::allocator<LL3D_Triangle>&, LL3D_Triangle*, LL3D_Triangle const&)
  0.00      5.68     0.00   355248     0.00     0.00  std::vector<Chunk, std::allocator<Chunk> >::operator[](unsigned long)
  0.00      5.68     0.00   355072     0.00     0.00  MC_GetChunkBlock(Chunk&, int, int, int, int)
  0.00      5.68     0.00   223104     0.00     0.00  LL3D_Vector2D::Set(float, float)
  0.00      5.68     0.00   140993     0.00     0.00  MK2D_RenderGliph(unsigned char, int, int, unsigned char)
  0.00      5.68     0.00    50060     0.00     0.00  std::vector<MC_Button, std::allocator<MC_Button> >::operator[](unsigned long)
  0.00      5.68     0.00    24111     0.00     0.00  MK2D_SetRenderBlend(int)
  0.00      5.68     0.00    10865     0.00     0.00  MK2D_GetPalRGB(MK2D_RGB)
  0.00      5.68     0.00    10865     0.00     0.00  MK2D_GetPalRGB(unsigned char, unsigned char, unsigned char)
  0.00      5.68     0.00    10865     0.00     0.00  MK2D_FindPalRGB(unsigned char)
  0.00      5.68     0.00     9573     0.00     0.00  std::vector<MC_Button, std::allocator<MC_Button> >::size() const
  0.00      5.68     0.00     7150     0.00     0.00  MK2D_BlitBar(int, int, int, int, unsigned char)
  0.00      5.68     0.00     7150     0.00     0.00  MK2D_BlitBox(int, int, int, int, unsigned char)
  0.00      5.68     0.00     4760     0.00     0.00  MK2D_ClearRenderer(unsigned char)
  0.00      5.68     0.00     2380     0.00     0.00  MK2D_IsError()
  0.00      5.68     0.00     2380     0.00     0.00  std::ceil(float)
  0.00      5.68     0.00     2379     0.00     0.00  MK2D_GetFPS()
  0.00      5.68     0.00     2379     0.00     0.00  MK2D_SetVRT(bool)
  0.00      5.68     0.00     2379     0.00     0.00  MK_GetMouse()
  0.00      5.68     0.00     2379     0.00     0.00  LL3D_IsError()
  0.00      5.68     0.00     2379     0.00     0.00  MK2D_Int2Str[abi:cxx11](int)
  0.00      5.68     0.00     2379     0.00     0.00  MK2D_WaitVRT()
  0.00      5.68     0.00     2379     0.00     0.00  MC_RenderMenu()
  0.00      5.68     0.00     2379     0.00     0.00  MK2D_IsKeyReleased(unsigned char)
  0.00      5.68     0.00     2379     0.00     0.00  MC_Write(int, int, int, unsigned char)
  0.00      5.68     0.00     2374     0.00     0.00  MK2D_MouseReleased(unsigned char)
  0.00      5.68     0.00     1554     0.00     0.00  LL3D_Triangle* std::__niter_base<LL3D_Triangle*>(LL3D_Triangle*)
  0.00      5.68     0.00     1336     0.00     0.00  MC_MainMenuDrawMeFunction()
  0.00      5.68     0.00     1036     0.00     0.00  __gnu_cxx::__normal_iterator<LL3D_Triangle*, std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> > >::base() const
  0.00      5.68     0.00      777     0.00     0.00  __gnu_cxx::new_allocator<LL3D_Triangle>::max_size() const
  0.00      5.68     0.00      622     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      5.68     0.00      562     0.00     0.00  std::_Vector_base<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_get_Tp_allocator()
  0.00      5.68     0.00      518     0.00     0.00  __gnu_cxx::__normal_iterator<LL3D_Triangle*, std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> > >::__normal_iterator(LL3D_Triangle* const&)
  0.00      5.68     0.00      518     0.00     0.00  std::_Vector_base<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_get_Tp_allocator() const
  0.00      5.68     0.00      518     0.00     0.00  std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::max_size() const
  0.00      5.68     0.00      518     0.00     0.00  std::allocator_traits<std::allocator<LL3D_Triangle> >::max_size(std::allocator<LL3D_Triangle> const&)
  0.00      5.68     0.00      518     0.00     0.00  std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_S_max_size(std::allocator<LL3D_Triangle> const&)
